archive,original_path,original_bytes,original_sha256,release_path,release_sha256,action,encoding
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/FileContentIndex/5f16e1ad-d626-4c4b-a352-efe3fdcf2bd6.vsidx,15455,3c724d1200d619508bfeebbcf54bd3d2c95fdebdad9d8518535394e9871eebe1,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/FileContentIndex/cf74fe3d-77e5-4317-894c-1c53764b9769.vsidx,7904,cb353338c2ce3097d58dc91db67a7ed9df6629c980df0dc7bbd6503b30fdfe70,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/FileContentIndex/read.lock,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/v17/.suo,44544,d735f7ad399e4c3fb9b12528cb654f8d26ee91171c5b24e56dd440bb46b17bbe,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/v17/Browse.VC.db,33415168,cb77b829b52796cbbd04b1cbe7795d431491f52379ef78a086b3b89b703c42c2,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/v17/ipch/AutoPCH/5f66d0b942b53f6a/FILTERING.ipch,47513600,3eeb9305228187f727a1a597d1a11e75136a5f770604c250ef6aa762e8838786,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/v17/ipch/AutoPCH/6ecea2bcfca1f105/RGB_TO_YCC.ipch,47513600,0aa7fd325875d8e5f6bb3f4f280a0f366181b4de4fb66b368afd19dfe1ffb13a,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/v17/ipch/AutoPCH/74d6a50fd10f5ff3/MAIN.ipch,47513600,d2aad247c5be0ff13b3b838a5fbfbfe8ad43219390cafa6fee6102ac83d1fd2b,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/.vs/DE_c_ver2/v17/ipch/AutoPCH/8392bd9d2c070eec/READ_IMAGE.ipch,47513600,d4194bb90b1ab29baecac493c65c6f7bb84449c70a5f764e937f6eaa1e8f9731,,,excluded: generated build/simulator/IDE artifact or historical output,
DE_c.zip,DE_c/DE_c_ver2/DE_c_ver2/DE_c_ver2.vcxproj,6934,c8bb841b2d02c3f65f0c18c8bf672c7e7e333ba69efe6aae6e46006d02e5e4c2,,,excluded: historical IDE project metadata; setup facts documented separately,
